player,team,age,height,weight,points
Chris Clemons,HOU,22,69,180,5.0
Chris Paul,OKC,34,73,175,17.6
Chris Silva,MIA,23,80,234,3.1
Christian Wood,DET,24,82,214,11.3
CJ McCollum,POR,28,75,190,21.4
CJ Miles,WAS,32,78,220,6.4
Clint Capela,ATL,25,82,240,13.9
Coby White,CHI,20,76,195,11.1
Cody Martin,CHA,24,77,205,4.5
Cody Zeller,CHA,27,85,240,11.1
Collin Sexton,CLE,21,73,190,19.9
Cory Joseph,SAC,28,75,200,6.4
Courtney Lee,DAL,34,77,215,4.1
Cristiano Felicio,CHI,27,82,270,4.0
D.J. Augustin,ORL,32,71,183,10.4
D.J. Wilson,MIL,24,82,231,3.0
D'Angelo Russell,MIN,23,76,193,23.5
Damian Jones,ATL,24,83,245,5.9
Damian Lillard,POR,29,74,195,29.5
Damion Lee,GSW,27,77,210,12.0
Damyean Dotson,NYK,25,77,210,6.7
Daniel Gafford,CHI,21,82,234,4.7
Daniel Theis,BOS,27,80,245,8.7
Danilo Gallinari,OKC,31,82,233,19.2
Danny Green,LAL,32,78,215,8.5
Dante Exum,CLE,24,77,214,4.4
Danuel House Jr.,HOU,26,78,220,10.6
DaQuan Jeffries,SAC,22,77,230,1.2
Dario Saric,PHX,25,82,225,9.6
Darius Bazley,OKC,19,80,208,4.5
Darius Garland,CLE,20,73,192,12.3
Daryl Macon,MIA,24,74,185,0.8
David Nwaba,BKN,27,77,219,5.2
Davis Bertans,WAS,27,82,225,14.9
De'Aaron Fox,SAC,22,75,185,19.9
De'Andre Hunter,ATL,22,79,225,12.3
De'Anthony Melton,MEM,21,74,200,8.2
Dean Wade,CLE,23,81,228,1.6
Deandre Ayton,PHX,21,83,250,18.7
DeAndre Jordan,BKN,31,83,265,8.2
DeAndre' Bembry,ATL,25,77,210,5.8
Dejounte Murray,SAS,23,76,180,10.6
Delon Wright,DAL,27,77,185,7.2
DeMar DeRozan,SAS,30,78,220,22.9
DeMarre Carroll,HOU,33,78,215,2.2
Dennis Schroder,OKC,26,73,172,19.1
Dennis Smith Jr.,NYK,22,74,205,5.1
Denzel Valentine,CHI,26,76,220,5.8
Deonte Burton,OKC,26,76,240,2.7
Derrick Favors,NOP,28,81,265,9.4
Derrick Jones Jr.,MIA,23,78,210,8.6
Derrick Rose,DET,31,74,200,18.0
Derrick Walton Jr.,DET,24,73,185,2.2
Derrick White,SAS,25,76,190,10.2
Devin Booker,PHX,23,77,206,26.3
Devon Hall,OKC,24,74,215,1.0
Devonte' Graham,CHA,24,73,195,17.8
Dewan Hernandez,TOR,23,82,235,1.0
Dewayne Dedmon,ATL,30,85,245,5.4
Dillon Brooks,MEM,24,79,225,15.4
Dion Waiters,MIA,28,75,210,9.3
Domantas Sabonis,IND,23,83,240,18.4
Donovan Mitchell,UTA,23,73,215,24.1
Donte DiVincenzo,MIL,23,76,203,9.2
Dorian Finney-Smith,DAL,26,79,220,9.3
Doug McDermott,IND,28,79,225,10.5
Dragan Bender,MIL,22,85,249,3.7
Draymond Green,GSW,29,78,230,8.2
Drew Eubanks,SAS,23,81,245,2.9
Duncan Robinson,MIA,25,79,215,12.6
Dwayne Bacon,CHA,24,78,221,5.7
Dwight Howard,LAL,34,82,265,7.7
Dwight Powell,DAL,28,82,240,9.4
Dzanan Musa,BKN,20,81,217,4.2
E'Twaun Moore,NOP,30,75,191,9.4
Ed Davis,UTA,30,81,218,1.3
Edmond Sumner,IND,24,76,196,4.3
Elfrid Payton,NYK,25,75,195,9.7
Elie Okobo,PHX,22,75,190,4.1
Emmanuel Mudiay,UTA,23,75,200,7.5
Enes Kanter,BOS,27,82,250,9.0
Eric Bledsoe,MIL,30,73,214,15.7
Eric Gordon,HOU,31,75,215,15.3
Eric Mika,SAC,25,82,233,6.0
Eric Paschall,GSW,23,78,255,13.2
Ersan Ilyasova,MIL,32,81,235,7.3
Evan Fournier,ORL,27,79,205,18.8
Evan Turner,MIN,31,78,220,3.3
Frank Jackson,NOP,21,75,205,5.8
Frank Kaminsky,PHX,26,85,240,11.0
Frank Mason,MIL,25,71,190,1.3
Frank Ntilikina,NYK,21,76,200,5.9
Fred VanVleet,TOR,25,73,197,17.9
Furkan Korkmaz,PHI,22,79,202,9.5
Gabe Vincent,MIA,23,75,200,3.0
Garrett Temple,BKN,33,77,195,10.1
Garrison Mathews,WAS,23,77,215,5.8
Gary Clark,ORL,25,78,225,3.5
Gary Harris,DEN,25,76,210,10.1
Gary Payton II,WAS,27,75,195,4.5
Gary Trent Jr.,POR,21,77,209,7.0
George Hill,MIL,33,75,188,9.6
Georges Niang,UTA,26,79,230,5.9
Giannis Antetokounmpo,MIL,25,83,242,30.0
Glenn Robinson III,PHI,26,78,222,12.5
Goga Bitadze,IND,20,83,250,3.0
Goran Dragic,MIA,33,75,190,16.1
Gordon Hayward,BOS,29,79,225,17.6
Gorgui Dieng,MEM,30,82,252,7.4
Grant Williams,BOS,21,78,236,3.7
Grayson Allen,MEM,24,76,198,7.4
Hamidou Diallo,OKC,21,77,202,6.4
Harrison Barnes,SAC,27,80,225,14.8
Harry Giles III,SAC,21,83,240,5.5
Hassan Whiteside,POR,30,85,265,15.8
Henry Ellenson,BKN,23,82,240,0.4
Ian Mahinmi,WAS,33,83,262,7.8
Ignas Brazdeikis,NYK,21,78,221,1.9
Iman Shumpert,BKN,29,77,212,4.2
Isaac Bonga,WAS,20,80,180,4.8
Isaiah Hartenstein,HOU,21,85,250,4.7
Isaiah Roby,OKC,22,80,230,0.0
Isaiah Thomas,WAS,31,69,185,12.2
Ish Smith,WAS,31,73,175,10.7
Ivica Zubac,LAC,22,85,240,8.0
J.J. Barea,DAL,35,70,180,9.0
J.P. Macura,CLE,24,76,203,0.0
Ja Morant,MEM,20,75,174,17.6
Jabari Parker,SAC,24,80,245,14.7
Jacob Evans,MIN,22,76,210,4.6
Jae Crowder,MIA,29,78,235,10.5
Jahlil Okafor,NOP,24,82,270,7.9
JaKarr Sampson,IND,26,79,214,
Jake Layman,MIN,25,80,209,10.5
Jakob Poeltl,SAS,24,85,245,5.3
Jalen Brunson,DAL,23,73,190,8.3
Jalen Lecque,PHX,19,76,185,2.5
Jalen McDaniels,CHA,22,82,205,4.8
Jamal Murray,DEN,22,76,215,18.9
James Ennis III,ORL,29,78,215,5.8
James Harden,HOU,30,77,220,35.2
James Johnson,MIN,33,79,240,6.3
JaMychal Green,LAC,29,80,227,6.4
Jared Dudley,LAL,34,78,237,1.6
Jared Harper,PHX,22,71,175,0.7
Jaren Jackson Jr.,MEM,20,83,242,16.9
Jarred Vanderbilt,MIN,20,81,214,1.1
Jarrell Brantley,UTA,23,77,250,0.0
Jarrett Allen,BKN,21,83,243,10.9
Jarrett Culver,MIN,21,78,195,8.9
JaVale McGee,LAL,32,85,270,7.0
Javonte Green,BOS,26,76,205,3.0
Jaxson Hayes,NOP,19,83,220,7.8
Jaylen Brown,BOS,23,78,223,20.3
Jaylen Hoard,POR,20,80,216,2.9
Jaylen Nowell,MIN,20,76,201,4.4
Jayson Tatum,BOS,21,80,210,22.5
Jeff Green,HOU,33,80,235,8.1
Jeff Teague,ATL,31,75,195,11.3
Jerami Grant,DEN,25,80,210,11.2
Jeremiah Martin,BKN,23,74,185,1.0
Jeremy Lamb,IND,27,77,180,12.7
Jeremy Pargo,GSW,33,74,219,8.3
Jerome Robinson,WAS,22,76,190,3.2
Jevon Carter,PHX,24,73,200,4.4
Jimmy Butler,MIA,30,79,230,20.6
JJ Redick,NOP,35,75,200,15.5
Joe Harris,BKN,28,78,220,13.8
Joe Ingles,UTA,32,79,220,10.0
Joel Embiid,PHI,25,85,280,23.3
John Collins,ATL,22,81,235,20.4
John Henson,DET,29,81,219,5.2
John Konchar,MEM,23,77,210,1.2
Johnathan Motley,LAC,24,80,230,2.2
Johnathan Williams,WAS,24,81,228,3.2
Jonah Bolden,PHX,24,80,225,1.7
Jonas Valanciunas,MEM,27,83,265,14.6
Jonathan Isaac,ORL,22,83,230,12.0
Jordan Bell,MEM,25,80,216,3.1
Jordan Bone,DET,22,75,180,1.2
Jordan Clarkson,UTA,27,76,194,15.3
Jordan McLaughlin,MIN,23,71,185,6.9
Jordan McRae,DEN,28,77,179,12.2
Jordan Poole,GSW,20,76,194,8.1
Josh Gray,NOP,26,73,180,1.0
Josh Hart,NOP,24,77,215,10.7
Josh Jackson,MEM,23,80,207,8.1
Josh Magette,ORL,30,73,160,1.5
Josh Okogie,MIN,21,76,213,8.7
Josh Reaves,DAL,22,76,214,0.0
Josh Richardson,PHI,26,77,200,14.4
Jrue Holiday,NOP,29,75,205,19.3
Juan Toscano-Anderson,GSW,26,78,209,5.5
Juancho Hernangomez,MIN,24,81,214,4.4
Julius Randle,NYK,25,80,250,19.1
Justin Anderson,BKN,26,77,231,1.0
Justin Holiday,IND,30,78,180,8.2
Justin Jackson,DAL,24,79,220,5.8
Justin James,SAC,23,79,190,2.7
Justin Patton,OKC,22,83,241,1.8
Justin Robinson,WAS,22,73,195,1.4
Justin Wright-Foreman,UTA,22,73,190,0.0
Justise Winslow,MEM,23,78,222,11.3
Juwan Morgan,UTA,22,79,232,1.1
Kadeem Allen,NYK,27,73,200,5.0
Karl-Anthony Towns,MIN,24,83,248,26.5
Kawhi Leonard,LAC,28,79,225,27.2
Keita Bates-Diop,DEN,24,80,229,6.6
Kelan Martin,MIN,24,77,230,5.8
Keldon Johnson,SAS,20,77,220,1.0
Kelly Olynyk,MIA,28,83,240,7.5
Kelly Oubre Jr.,PHX,24,79,203,18.8
Kemba Walker,BOS,29,73,184,21.8
Kendrick Nunn,MIA,24,74,190,15.3
Kenrich Williams,NOP,25,78,210,3.8
Kent Bazemore,SAC,30,76,195,8.2
Kentavious Caldwell-Pope,LAL,27,77,204,9.6
Kevin Hervey,OKC,23,81,230,0.0
Kevin Huerter,ATL,21,79,190,12.4
Kevin Knox II,NYK,20,79,215,6.7
Kevin Love,CLE,31,80,251,17.5
Kevin Porter Jr.,CLE,19,76,203,9.6
Kevon Looney,GSW,24,81,222,2.9
Khem Birch,ORL,27,81,233,4.0
Khris Middleton,MIL,28,79,222,20.6
Khyri Thomas,DET,23,75,210,0.5
Kostas Antetokounmpo,LAL,22,82,200,0.0
Kris Dunn,CHI,25,75,205,7.3
Kristaps Porzingis,DAL,24,87,240,18.6
Ky Bowman,GSW,22,73,187,7.0
Kyle Anderson,MEM,26,81,230,5.5
Kyle Guy,SAC,22,73,167,1.0
Kyle Korver,MIL,38,79,212,6.4
Kyle Kuzma,LAL,24,80,221,12.5
Kyle Lowry,TOR,33,73,196,19.5
Kyle O'Quinn,PHI,29,81,250,3.5
Kyrie Irving,BKN,27,74,195,27.4
KZ Okpala,MIA,20,80,215,1.4
LaMarcus Aldridge,SAS,34,83,250,19.0
Landry Shamet,LAC,22,76,190,10.6
Langston Galloway,DET,28,73,200,10.2
Larry Nance Jr.,CLE,27,79,245,9.6
Lauri Markkanen,CHI,22,85,240,15.0
LeBron James,LAL,35,81,250,25.1
Lonnie Walker IV,SAS,21,77,204,5.7
Lonzo Ball,NOP,22,78,190,12.0
Lou Williams,LAC,33,73,175,19.5
Louis King,DET,20,79,205,2.0
Luguentz Dort,OKC,20,75,215,6.0
Luka Doncic,DAL,20,79,230,29.0
Luke Kennard,DET,23,77,206,15.8
Luke Kornet,CHI,24,86,250,6.0
Malcolm Brogdon,IND,27,77,229,16.5
Malcolm Miller,TOR,26,79,210,0.9
Malik Beasley,MIN,23,76,187,9.3
Malik Monk,CHA,22,75,200,10.2
Malik Newman,CLE,23,75,190,2.0
Manute Bol,,,88,,
Marc Gasol,TOR,35,83,255,7.8
Marco Belinelli,SAS,33,77,220,5.4
Marcus Morris Sr.,LAC,30,80,218,19.0
Marcus Smart,BOS,25,75,220,12.5
Marial Shayok,PHI,24,77,198,1.5
Mario Hezonja,POR,24,80,220,4.5
Markelle Fultz,ORL,21,75,209,11.9
Markieff Morris,DET,30,80,245,11.0
Marko Guduric,MEM,24,78,201,4.3
Marques Bolden,CLE,21,82,249,0.0
Marquese Chriss,GSW,22,81,240,8.7
Marvin Bagley III,SAC,20,83,235,14.2
Marvin Williams,MIL,33,80,237,6.6
Mason Plumlee,DEN,29,83,254,7.3
Matisse Thybulle,PHI,22,77,201,4.8
Matt Mooney,CLE,23,74,199,1.0
Matt Thomas,TOR,25,76,190,4.4
Matthew Dellavedova,CLE,29,75,200,2.6
Maurice Harkless,NYK,26,79,220,
Max Strus,CHI,23,77,215,2.5
Maxi Kleber,DAL,28,82,240,9.3
Melvin Frazier Jr.,ORL,23,77,215,1.3
Meyers Leonard,MIA,27,85,260,6.1
Mfiondu Kabengele,LAC,22,81,250,3.5
Michael Carter-Williams,ORL,28,77,190,6.4
Michael Frazier,HOU,25,75,200,1.8
Michael Kidd-Gilchrist,DAL,26,78,232,3.7
Michael Porter Jr.,DEN,21,82,218,7.9
Mikal Bridges,PHX,23,78,209,8.1
Mike Conley,UTA,32,73,175,13.5
Mike Muscala,OKC,28,82,240,4.8
Mike Scott,PHI,31,79,237,5.5
Miles Bridges,CHA,21,78,225,13.2
Mitchell Robinson,NYK,21,85,240,9.2
Miye Oni,UTA,22,77,206,0.0
Mo Bamba,ORL,21,85,231,5.4
Monte Morris,DEN,24,74,183,8.4
Montrezl Harrell,LAC,26,79,240,18.8
Moritz Wagner,WAS,22,83,245,11.1
Moses Brown,POR,20,86,245,1.2
Muggsy Bogues,,,63,,
Myles Turner,IND,23,83,250,11.8
Nassir Little,POR,20,77,220,4.0
Naz Mitrou-Long,IND,26,75,218,4.7
Naz Reid,MIN,20,81,264,8.0
Nemanja Bjelica,SAC,31,82,234,12.2
Nerlens Noel,OKC,25,82,220,7.9
Nickeil Alexander-Walker,NOP,21,77,205,5.1
Nicolas Batum,CHA,31,81,230,3.6
Nicolas Claxton,BKN,20,83,215,4.4
Nicolo Melli,NOP,29,81,236,6.3
Nigel Williams-Goss,UTA,25,74,190,0.4
Nikola Jokic,DEN,25,85,284,20.8
Nikola Vucevic,ORL,29,83,260,19.1
Noah Vonleh,DEN,24,82,257,4.1
Norman Powell,TOR,26,75,215,15.3
Norvel Pelle,PHI,27,82,231,2.5
OG Anunoby,TOR,22,79,232,10.3
Omari Spellman,MIN,22,80,245,7.6
Oshae Brissett,TOR,21,79,210,1.8
Otto Porter Jr.,CHI,26,80,198,11.2
P.J. Tucker,HOU,34,77,245,7.5
P.J. Washington,CHA,21,79,230,11.8
Pascal Siakam,TOR,25,81,230,23.8
Pat Connaughton,MIL,27,77,209,4.8
Patrick Beverley,LAC,31,73,180,8.5
Patrick McCaw,TOR,24,79,181,4.9
Patrick Patterson,LAC,30,80,235,4.9
Patty Mills,SAS,31,73,180,11.8
Paul George,LAC,29,80,220,21.7
Paul Millsap,DEN,35,79,257,11.8
Paul Watson,TOR,25,78,210,0.3
PJ Dozier,DEN,23,78,205,5.5
Quinn Cook,LAL,26,73,180,5.0
Quinndary Weatherspoon,SAS,23,75,205,0.0
Rajon Rondo,LAL,33,73,180,7.7
Raul Neto,PHI,27,73,180,4.0
Rayjon Tucker,UTA,22,75,209,1.5
Reggie Bullock,NYK,28,78,205,9.8
Reggie Jackson,LAC,29,75,208,14.9
Richaun Holmes,SAC,26,82,235,13.1
Ricky Rubio,PHX,29,75,190,12.3
RJ Barrett,NYK,19,78,214,13.7
Robert Covington,HOU,29,79,209,12.9
Robert Williams III,BOS,22,80,237,3.9
Robin Lopez,MIL,31,85,281,5.3
Rodions Kurucs,BKN,22,81,228,4.8
Rodney Hood,POR,27,80,208,11.0
Rodney McGruder,LAC,28,76,205,3.4
Romeo Langford,BOS,20,76,216,2.9
Rondae Hollis-Jefferson,TOR,25,78,217,7.6
Royce O'Neale,UTA,26,76,226,5.9
Rudy Gay,SAS,33,80,250,9.4
Rudy Gobert,UTA,27,85,258,15.6
Rui Hachimura,WAS,22,80,230,14.0
Russell Westbrook,HOU,31,75,200,27.0
Ryan Anderson,HOU,31,81,240,2.5
Ryan Arcidiacono,CHI,25,75,195,4.2
Ryan Broekhoff,DAL,29,78,215,4.2
Sekou Doumbouya,DET,19,80,230,6.8
Semi Ojeleye,BOS,25,78,240,3.0
Serge Ibaka,TOR,30,85,235,16.1
Seth Curry,DAL,29,74,185,11.4
Shabazz Napier,WAS,28,73,175,9.6
Shai Gilgeous-Alexander,OKC,21,77,180,19.3
Shake Milton,PHI,23,77,205,6.2
Shamorie Ponds,TOR,21,73,175,2.3
Shaquille Harrison,CHI,26,79,190,3.7
Skal Labissiere,ATL,23,82,235,5.8
Solomon Hill,MIA,28,78,226,5.7
Spencer Dinwiddie,BKN,26,77,215,21.0
Stanley Johnson,TOR,23,78,242,1.2
Stanton Kidd,UTA,27,78,216,0.0
Stephen Curry,GSW,31,75,185,20.3
Sterling Brown,MIL,25,77,219,5.2
Steven Adams,OKC,26,83,265,10.9
Svi Mykhailiuk,DET,22,79,205,8.9
T.J. McConnell,IND,27,73,190,6.8
T.J. Warren,IND,26,80,220,18.7
Tacko Fall,BOS,24,89,311,3.2
Taj Gibson,NYK,34,81,232,5.8
Talen Horton-Tucker,LAL,19,76,234,0.0
Tariq Owens,PHX,24,82,205,1.3
Taurean Prince,BKN,25,79,218,12.3
Terance Mann,LAC,23,77,215,1.6
Terence Davis,TOR,22,76,201,8.1
Terrance Ferguson,OKC,21,78,190,4.4
Terrence Ross,ORL,29,78,206,13.5
Terry Rozier,CHA,25,73,190,17.8
Thabo Sefolosha,HOU,35,78,215,2.4
Thaddeus Young,CHI,31,80,235,9.9
Thanasis Antetokounmpo,MIL,27,78,219,2.0
Theo Pinson,BKN,24,77,212,4.2
Thomas Bryant,WAS,22,82,248,12.7
Thon Maker,DET,22,85,221,4.8
Tim Frazier,DET,29,73,170,3.6
Tim Hardaway Jr.,DAL,27,77,205,14.8
Timothe Luwawu-Cabarrot,BKN,24,79,220,5.2
TJ Leaf,IND,22,82,222,3.0
Tobias Harris,PHI,27,80,226,19.1
Tomas Satoransky,CHI,28,79,210,10.3
Tony Bradley,UTA,22,82,248,4.3
Tony Snell,DET,28,78,213,8.2
Torrey Craig,DEN,29,79,221,4.9
Trae Young,ATL,21,73,180,30.1
Tremont Waters,BOS,22,70,175,3.1
Treveon Graham,ATL,26,77,219,4.4
Trevor Ariza,POR,34,80,215,7.2
Trey Burke,PHI,27,73,185,5.9
Trey Lyles,SAS,24,81,234,5.4
Tristan Thompson,CLE,28,81,254,12.1
Troy Brown Jr.,WAS,20,78,215,10.2
Troy Daniels,LAL,28,76,200,4.3
Ty Jerome,PHX,22,77,195,4.0
Tyler Cook,CLE,22,80,255,1.7
Tyler Herro,MIA,20,77,195,13.1
Tyler Johnson,PHX,27,75,186,5.7
Tyrone Wallace,ATL,25,77,198,2.9
Tyson Chandler,HOU,37,85,235,1.3
Tyus Jones,MEM,23,73,196,7.1
Udonis Haslem,MIA,39,80,235,2.5
Vic Law,ORL,24,79,201,0.0
Victor Oladipo,IND,27,76,213,10.8
Vince Carter,ATL,43,78,220,5.2
Vincent Poirier,BOS,26,85,235,1.9
Vlatko Cancar,DEN,22,80,236,1.4
Wayne Ellington,NYK,32,76,207,5.1
Wendell Carter Jr.,CHI,20,81,270,11.7
Wenyen Gabriel,POR,22,81,205,1.7
Wes Iwundu,ORL,25,78,195,5.1
Wesley Matthews,MIL,33,76,220,7.5
Will Barton,DEN,29,77,181,15.1
William Howard,HOU,26,80,207,0.0
Willie Cauley-Stein,DAL,26,85,240,7.5
Willy Hernangomez,CHA,25,83,250,5.7
Wilson Chandler,BKN,32,80,235,6.5
Yogi Ferrell,SAC,26,73,178,4.4
Yuta Watanabe,MEM,25,80,215,1.8
Zach Collins,POR,22,83,250,9.0
Zach LaVine,CHI,24,78,200,25.2
Zach Norvell Jr.,GSW,22,77,205,2.0
Zhaire Smith,PHI,20,75,205,1.1
Zion Williamson,NOP,19,78,284,22.4
Zylan Cheatham,NOP,24,77,220,1.3
